순번,지문리더ID,kt본부,센터,지사/점,국명,통신실명,메인컨트롤러IP,지문리더IP
1,0011,강북본부,서울동부유선운용센터,서울북부사업지원센타,강북,전자교환실,,
2,0021,강북본부,서울동부유선운용센터,서울북부사업지원센타,강북,전력실,,
3,0031,강북본부,서울동부유선운용센터,서울북부사업지원센타,공릉,전자교환실,,
4,0041,강북본부,서울동부유선운용센터,서울북부사업지원센타,공릉,전송실,,
5,0051,강북본부,서울동부유선운용센터,서울북부사업지원센타,공릉,전력실,,
6,0061,강북본부,서울동부유선운용센터,서울북부사업지원센타,노원,전력실,,
7,0071,강북본부,서울동부유선운용센터,서울북부사업지원센타,노원,전송실,,
8,0081,강북본부,서울동부유선운용센터,서울동부사업지원센타,광진,전력실,,
9,0091,강북본부,서울동부유선운용센터,서울동부사업지원센타,성수,전력실,,
10,0101,강북본부,서울동부유선운용센터,서울동부사업지원센타,신내,전력실,,
11,0111,강북본부,서울동부유선운용센터,서울동부사업지원센타,전농,전자교환실,,
12,0121,강북본부,서울동부유선운용센터,서울동부사업지원센타,중랑,전력실,,
13,0131,강북본부,서울동부유선운용센터,서울동부사업지원센타,중앙,전송실,,
14,0141,강북본부,서울동부유선운용센터,서울동부사업지원센타,중앙,전력실,,
15,0151,강북본부,서울동부유선운용센터,서울동부사업지원센타,행당,전력실,,
16,0161,강북본부,서울중부유선운용센터,서울중부사업지원센타,가좌,전력실,,
17,0171,강북본부,서울중부유선운용센터,서울중부사업지원센타,신촌,전자교환실,,
18,0181,강북본부,서울중부유선운용센터,서울중부사업지원센타,신촌,전력실,,
19,0191,강북본부,서울중부유선운용센터,서울중부사업지원센타,가좌,전송실,,
20,0201,강북본부,서울중부유선운용센터,서울중부사업지원센타,가좌,교환실,,
21,0211,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,5ESS실,,
22,0221,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,TDX-10실,,
23,0231,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국간전송실,,
24,0241,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,전용회선실,,
25,0251,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,수전실(3층),,
26,0261,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제전송실,,
27,0271,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제Data 1실,,
28,0281,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제Data 2실,,
29,0291,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제Data 3실,,
30,0301,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제교환실,,
31,0311,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제부가서비스실,,
32,0321,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제 UPS실,,
33,0331,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,3층 통신실(추후 확인),,
34,0341,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,4층 통신실(추후 확인),,
35,0351,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,5층 통신실(추후 확인),,
36,0361,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,6층 통신실(추후 확인),,
