순번,지문리더ID,kt본부,센터,지사/점,국명,통신실명,메인컨트롤러IP,지문리더IP,서버아이디
1,11,강북본부,서울동부유선운용센터,서울북부사업지원센타,강북,전자교환실,,,2
2,21,강북본부,서울동부유선운용센터,서울북부사업지원센타,강북,전력실,,,2
3,31,강북본부,서울동부유선운용센터,서울북부사업지원센타,공릉,전자교환실,222.111.44.52,222.111.44.53,2
4,41,강북본부,서울동부유선운용센터,서울북부사업지원센타,공릉,전송실,222.111.44.54,222.111.44.55,2
5,51,강북본부,서울동부유선운용센터,서울북부사업지원센타,공릉,전력실,,,2
6,61,강북본부,서울동부유선운용센터,서울북부사업지원센타,노원,전력실,183.96.127.42,183.96.127.43,2
7,71,강북본부,서울동부유선운용센터,서울북부사업지원센타,노원,전송실,183.96.127.44,183.96.127.45,2
8,81,강북본부,서울동부유선운용센터,서울동부사업지원센타,광진,전력실,59.6.65.11,59.6.65.12,2
9,91,강북본부,서울동부유선운용센터,서울동부사업지원센타,성수,전력실,211.161.141.6,211.161.141.7,2
10,101,강북본부,서울동부유선운용센터,서울동부사업지원센타,신내,전력실,121.130.25.196,121.130.25.197,2
11,111,강북본부,서울동부유선운용센터,서울동부사업지원센타,전농,전자교환실,,,2
12,121,강북본부,서울동부유선운용센터,서울동부사업지원센타,중랑,전력실,183.96.47.202,183.96.47.203,2
13,131,강북본부,서울동부유선운용센터,서울동부사업지원센타,중앙,전송실,121.130.183.202,121.130.183.203,2
14,141,강북본부,서울동부유선운용센터,서울동부사업지원센타,중앙,전력실,,,2
15,151,강북본부,서울동부유선운용센터,서울동부사업지원센타,행당,전력실,59.6.0.203,59.6.0.204,2
16,161,강북본부,서울중부유선운용센터,서울중부사업지원센타,가좌,전력실,218.144.156.120,218.144.156.118,2
17,171,강북본부,서울중부유선운용센터,서울중부사업지원센타,신촌,전자교환실,220.71.6.193,220.71.6.194,2
18,181,강북본부,서울중부유선운용센터,서울중부사업지원센타,신촌,전력실,220.71.6.202,220.71.6.203,2
19,191,강북본부,서울중부유선운용센터,서울중부사업지원센타,가좌,전송실,125.129.228.249,125.129.228.193,2
20,201,강북본부,서울중부유선운용센터,서울중부사업지원센타,가좌,교환실,125.129.228.198,125.129.228.199,2
21,211,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,5ESS실,,,2
22,221,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,TDX-10실,,,2
23,231,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국간전송실,,,2
24,241,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,전용회선실,,,2
25,251,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,수전실(3층),,,2
26,261,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제전송실,,,2
27,271,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제Data 1실,,,2
28,281,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제Data 2실,,,2
29,291,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제Data 3실,,,2
30,301,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제교환실,,,2
31,311,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제부가서비스실,,,2
32,321,강북본부,서울중부유선운용센터,서울중부사업지원센타,광화문,국제 UPS실,,,2
33,331,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,3층 통신실(추후 확인),,,2
34,341,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,4층 통신실(추후 확인),,,2
35,351,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,5층 통신실(추후 확인),,,2
36,361,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,6층 통신실(추후 확인),,,2
37,371,강북본부,서울중부유선운용센터,서울중부사업지원센타,여의도,7층 통신실(추후 확인),,,2
38,381,강북본부,경기북부유선운용센터,구리운용팀,구리,전력실,121.163.198.67,121.163.198.68,2
39,391,강북본부,경기북부유선운용센터,동두천운용팀,동두천,전송운용실,175.194.101.55 ,175.194.101.56 ,2
40,401,강북본부,경기북부유선운용센터,동두천운용팀,동두천, 전자교환실,175.194.101.57,175.194.101.58 ,2
41,411,강북본부,경기북부유선운용센터,동두천운용팀,동두천, 전력실,175.194.101.46,175.194.101.48  ,2
42,421,강북본부,경기북부유선운용센터,의정부운용팀,동의정부,인터넷실,121.132.181.97,121.132.181.98,2
43,431,강북본부,경기북부유선운용센터,의정부운용팀,동의정부, 전력실,,,2
44,441,강북본부,경기북부유선운용센터,동두천운용팀,송우,전력실,222.120.218.229,222.120.218.230,2
45,451,강북본부,경기북부유선운용센터,의정부운용팀,의정부,전자교환실,118.32.250.205,118.32.250.206,2
46,461,강북본부,경기북부유선운용센터,동두천운용팀,포천,전자교환실,59.9.9.37,59.9.9.38 ,2
47,471,강북본부,경기북부유선운용센터,일산운용팀,고양,전력실,61.84.120.87,61.84.120.88,2
48,481,강북본부,경기북부유선운용센터,파주운용팀,문산,전자교환실,59.7.80.106,59.7.80.102,2
49,491,강북본부,경기북부유선운용센터,파주운용팀,법원리, 전력실,125.142.112.244,125.142.112.245,2
